Date,Description,Amount,Category
2024-01-08,ASOS Online,-234.00,Shopping
2024-01-13,Odeon Cinema,-28.50,Entertainment
2024-01-17,Zara,-89.00,Shopping
2024-01-19,Itsu,-11.90,Dining Out
2024-01-22,Booking.com,-320.00,Travel
2024-01-24,Halfords,-54.99,Transport
2024-01-26,Apple Store,-149.00,Electronics
2024-01-30,Vue Cinema,-19.99,Entertainment
2024-02-02,H&M,-67.50,Shopping
2024-02-06,Vue Cinema,-24.00,Entertainment
2024-02-09,Trainline,-87.00,Travel
2024-02-11,Superdrug,-18.40,Health
2024-02-15,Ikea,-203.00,Home
2024-02-19,Pizza Express,-38.60,Dining Out
2024-02-24,Amazon Prime,-8.99,Entertainment
2024-02-26,Currys,-299.00,Electronics
